hh:mm:ss ss_fraction
00:00:00
00:05:07 19/143
00:10:14 38/143
00:15:21 57/143
00:20:28 76/143
00:25:35 95/143
00:30:42 114/143
00:35:49 133/143
00:40:57 9/143
00:46:04 28/143
00:51:11 47/143
00:56:18 66/143
01:00:10 10/143
01:05:17 29/143
01:10:24 48/143
01:15:31 67/143
01:20:38 86/143
01:25:45 105/143
01:30:52 124/143
01:36:00
01:41:07 19/143
01:46:14 38/143
01:51:21 57/143
01:56:28 76/143
02:00:20 20/143
02:05:27 39/143
02:10:34 58/143
02:15:41 77/143
02:20:48 96/143
02:25:55 115/143
02:31:02 134/143
02:36:10 10/143
02:41:17 29/143
02:46:24 48/143
02:51:31 67/143
02:56:38 86/143
03:00:30 30/143
03:05:37 49/143
03:10:44 68/143
03:15:51 87/143
03:20:58 106/143
03:26:05 125/143
03:31:13 1/143
03:36:20 20/143
03:41:27 39/143
03:46:34 58/143
03:51:41 77/143
03:56:48 96/143
04:00:40 40/143
04:05:47 59/143
04:10:54 78/143
04:16:01 97/143
04:21:08 116/143
04:26:15 135/143
04:31:23 11/143
04:36:30 30/143
04:41:37 49/143
04:46:44 68/143
04:51:51 87/143
04:56:58 106/143
05:00:50 50/143
05:05:57 69/143
05:11:04 88/143
05:16:11 107/143
05:21:18 126/143
05:26:26 2/143
05:31:33 21/143
05:36:40 40/143
05:41:47 59/143
05:46:54 78/143
05:52:01 97/143
05:57:08 116/143
06:01:00 60/143
06:06:07 79/143
06:11:14 98/143
06:16:21 117/143
06:21:28 136/143
06:26:36 12/143
06:31:43 31/143
06:36:50 50/143
06:41:57 69/143
06:47:04 88/143
06:52:11 107/143
06:57:18 126/143
07:01:10 70/143
07:06:17 89/143
07:11:24 108/143
07:16:31 127/143
07:21:39 3/143
07:26:46 22/143
07:31:53 41/143
07:37:00 60/143
07:42:07 79/143
07:47:14 98/143
07:52:21 117/143
07:57:28 136/143
08:01:20 80/143
08:06:27 99/143
08:11:34 118/143
08:16:41 137/143
08:21:49 13/143
08:26:56 32/143
08:32:03 51/143
08:37:10 70/143
08:42:17 89/143
08:47:24 108/143
08:52:31 127/143
08:57:39 3/143
09:01:30 90/143
09:06:37 109/143
09:11:44 128/143
09:16:52 4/143
09:21:59 23/143
09:27:06 42/143
09:32:13 61/143
09:37:20 80/143
09:42:27 99/143
09:47:34 118/143
09:52:41 137/143
09:57:49 13/143
10:01:40 100/143
10:06:47 119/143
10:11:54 138/143
10:17:02 14/143
10:22:09 33/143
10:27:16 52/143
10:32:23 71/143
10:37:30 90/143
10:42:37 109/143
10:47:44 128/143
10:52:52 4/143
10:57:59 23/143
11:01:50 110/143
11:06:57 129/143
11:12:05 5/143
11:17:12 24/143
11:22:19 43/143
11:27:26 62/143
11:32:33 81/143
11:37:40 100/143
11:42:47 119/143
11:47:54 138/143
11:53:02 14/143
11:58:09 33/143
